







0.008,0.153
0.008,0.154
0.008,0.155
0.008,0.156
0.008,0.157
0.008,0.158
0.008,0.159
0.008,0.16
0.008,0.161
0.008,0.162
0.008,0.163
0.008,0.164
0.008,0.165
0.008,0.166
0.008,0.167
0.008,0.168
0.008,0.169
0.008,0.17
0.008,0.171
0.008,0.172

0.009,0.15
0.009,0.151
0.009,0.152
0.009,0.153
0.009,0.154
0.009,0.155
0.009,0.156
0.009,0.157
0.009,0.158
0.009,0.159
0.009,0.16
0.009,0.161
0.009,0.162
0.009,0.163
0.009,0.164
0.009,0.165
0.009,0.166
0.009,0.167
0.009,0.168
0.009,0.169
0.009,0.17
0.009,0.171
0.009,0.172
0.009,0.173
0.009,0.174

0.01,0.147
0.01,0.148
0.01,0.149
0.01,0.15
0.01,0.151
0.01,0.152
0.01,0.153
0.01,0.154
0.01,0.155
0.01,0.156
0.01,0.157
0.01,0.158
0.01,0.159
0.01,0.16
0.01,0.161
0.01,0.162
0.01,0.163
0.01,0.164
0.01,0.165
0.01,0.166
0.01,0.167
0.01,0.168
0.01,0.169
0.01,0.17
0.01,0.171
0.01,0.172
0.01,0.173
0.01,0.174
0.01,0.175
0.01,0.176

0.011,0.145
0.011,0.146
0.011,0.147
0.011,0.148
0.011,0.149
0.011,0.15
0.011,0.151
0.011,0.152
0.011,0.153
0.011,0.154
0.011,0.155
0.011,0.156
0.011,0.157
0.011,0.158
0.011,0.159
0.011,0.16
0.011,0.161
0.011,0.162
0.011,0.163
0.011,0.164
0.011,0.165
0.011,0.166
0.011,0.167
0.011,0.168
0.011,0.169
0.011,0.17
0.011,0.171
0.011,0.172
0.011,0.173
0.011,0.174
0.011,0.175
0.011,0.176
0.011,0.177
0.011,0.178
0.011,0.179

0.012,0.143
0.012,0.144
0.012,0.145
0.012,0.146
0.012,0.147
0.012,0.148
0.012,0.149
0.012,0.15
0.012,0.151
0.012,0.152
0.012,0.153
0.012,0.154
0.012,0.155
0.012,0.156
0.012,0.157
0.012,0.158
0.012,0.159
0.012,0.16
0.012,0.161
0.012,0.162
0.012,0.163
0.012,0.164
0.012,0.165
0.012,0.166
0.012,0.167
0.012,0.168
0.012,0.169
